"new_id","old_id","kind","title","old_relative_path","new_relative_path","migration_status","evidence_level"
"IDEA-20260531T000000Z-mig-I2026053100156ACB","I20260531-001","idea","I20260531-001 慢快动量转折门控","💡 想法\2026-05-31\I20260531-001_慢快动量转折门控.md","07_因子数据灵感\04_模块\IDEA-20260531T000000Z-mig-I2026053100156ACB_I20260531-001慢快动量转折门控.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-AGENT9D351","最新Agent移交","archive","当前Agent移交：R010-B3 与 R026","📐 规范\Agent\最新Agent移交.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-AGENT9D351_当前Agent移交：R010-B3与R026.md","migrated_unverified","legacy_raw"
"MIG-20260605T000000Z-mig-R010A870D6","R010-A","archive","R010A10S1 A2 换仓延迟确认默认关闭 Shadow 观察规格","📐 规范\R010A10S1_A2换仓延迟确认默认关闭Shadow观察规格.md","12_归档\旧库迁移原文\MIG-20260605T000000Z-mig-R010A870D6_R010A10S1A2换仓延迟确认默认关闭Shadow观察规格.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-R010A45E4E","R010-A","archive","R010A9S3 过滤层稀薄 Top3 默认关闭 Shadow 观察规格","📐 规范\R010A9S3_过滤层稀薄Top3默认关闭Shadow观察规格.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-R010A45E4E_R010A9S3过滤层稀薄Top3默认关闭Shadow观察规格.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H006FCDB3006FC","横截面动量类策略","archive","横截面动量类策略","📐 规范\标签词典\收益来源\横截面动量类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H006FCDB3006FC_横截面动量类策略.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-ETF696E8","ETF轮动","archive","ETF轮动","📐 规范\标签词典\执行方式\ETF轮动.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-ETF696E8_ETF轮动.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-TOP124B34","Top1集中","archive","Top1集中","📐 规范\标签词典\执行方式\Top1集中.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-TOP124B34_Top1集中.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-ETFB90A0","ETF阴跌防守研究方法库","archive","ETF阴跌防守研究方法库","📐 规范\方法库\ETF阴跌防守研究方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-ETFB90A0_ETF阴跌防守研究方法库.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-R010CA8B6C","R010C动作启动信号文献适配清单","archive","R010C动作启动信号文献适配清单","📐 规范\方法库\R010C动作启动信号文献适配清单.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-R010CA8B6C_R010C动作启动信号文献适配清单.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H112802DF11280","多策略市场状态切换方法库","archive","多策略市场状态切换方法库","📐 规范\方法库\多策略市场状态切换方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H112802DF11280_多策略市场状态切换方法库.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-HD26A7151D26A7","非线性仓位控制前向观察执行规程","archive","非线性仓位控制前向观察执行规程","📐 规范\方法库\非线性仓位控制前向观察执行规程.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-HD26A7151D26A7_非线性仓位控制前向观察执行规程.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H2CC516A62CC51","市场状态识别方法库","archive","M20260522-001 市场状态识别方法库","📐 规范\方法库\市场状态识别方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H2CC516A62CC51_M20260522-001市场状态识别方法库.md","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HE7A092EDE7A09","市场状态信号接口设计","archive","M20260523-001 市场状态信号接口设计","📐 规范\方法库\市场状态信号接口设计.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HE7A092EDE7A09_M20260523-001市场状态信号接口设计.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-B3GATEBF65D","B3 gate","term","B3 gate（风险确认门）","📖 概念\B3 gate.md","09_术语库\TERM-20260603T000000Z-mig-B3GATEBF65D_B3gate（风险确认门）.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-B3GATETIEREDV2BAD04","B3-gate-tiered-v2","term","B3-gate-tiered-v2（策略组件导航）","📖 概念\B3-gate-tiered-v2.md","09_术语库\TERM-20260604T000000Z-mig-B3GATETIEREDV2BAD04_B3-gate-tiered-v2（策略组件导航）.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-B3552E3","B3全弱信号","term","B3 全弱信号","📖 概念\B3全弱信号.md","09_术语库\TERM-20260603T000000Z-mig-B3552E3_B3全弱信号.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-ETFEEFDF","ETF趋势确认与防守切换","term","ETF趋势确认与防守切换","📖 概念\ETF趋势确认与防守切换.md","09_术语库\TERM-20260604T000000Z-mig-ETFEEFDF_ETF趋势确认与防守切换.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-ETFA7B57","ETF阴跌防守切换","term","ETF阴跌防守切换","📖 概念\ETF阴跌防守切换.md","09_术语库\TERM-20260604T000000Z-mig-ETFA7B57_ETF阴跌防守切换.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-TIEREDV19409C","tiered-v1","term","tiered-v1","📖 概念\tiered-v1.md","09_术语库\TERM-20260604T000000Z-mig-TIEREDV19409C_tiered-v1.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-TIEREDV252E3B","tiered-v2（分层强度防守）","term","tiered-v2（分层强度防守）","📖 概念\tiered-v2（分层强度防守）.md","09_术语库\TERM-20260603T000000Z-mig-TIEREDV252E3B_tiered-v2（分层强度防守）.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-R27AD5F","动量R2得分","term","动量R2得分","📖 概念\动量R2得分.md","09_术语库\TERM-20260603T000000Z-mig-R27AD5F_动量R2得分.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-H64E843E164E84","动量崩盘预警","term","动量崩盘预警","📖 概念\动量崩盘预警.md","09_术语库\TERM-20260604T000000Z-mig-H64E843E164E84_动量崩盘预警.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-HC1AEF5B0C1AEF","动量质量软排序","term","动量质量软排序","📖 概念\动量质量软排序.md","09_术语库\TERM-20260603T000000Z-mig-HC1AEF5B0C1AEF_动量质量软排序.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-H329A0ECC329A0","动量质量因子准入","term","动量质量因子准入","📖 概念\动量质量因子准入.md","09_术语库\TERM-20260604T000000Z-mig-H329A0ECC329A0_动量质量因子准入.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-HB896D56FB896D","动量质量准入","term","动量质量准入","📖 概念\动量质量准入.md","09_术语库\TERM-20260603T000000Z-mig-HB896D56FB896D_动量质量准入.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H2F7A7B2A2F7A7","防守切换","term","防守切换","📖 概念\防守切换.md","09_术语库\TERM-20260603T000000Z-mig-H2F7A7B2A2F7A7_防守切换.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-HE592D741E592D","非线性仓位控制（概念）","term","非线性仓位控制","📖 概念\非线性仓位控制（概念）.md","09_术语库\TERM-20260604T000000Z-mig-HE592D741E592D_非线性仓位控制.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H354A31A8354A3","横截面动量","term","横截面动量","📖 概念\横截面动量.md","09_术语库\TERM-20260603T000000Z-mig-H354A31A8354A3_横截面动量.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-H8C1895D28C189","机器学习因子评分与非线性组合","term","机器学习因子评分与非线性组合","📖 概念\机器学习因子评分与非线性组合.md","09_术语库\TERM-20260604T000000Z-mig-H8C1895D28C189_机器学习因子评分与非线性组合.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-HED28BD20ED28B","价值动量互补组合","term","价值动量互补组合","📖 概念\价值动量互补组合.md","09_术语库\TERM-20260604T000000Z-mig-HED28BD20ED28B_价值动量互补组合.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H7BB0848E7BB08","绝对动量准入","term","绝对动量准入","📖 概念\绝对动量准入.md","09_术语库\TERM-20260603T000000Z-mig-H7BB0848E7BB08_绝对动量准入.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-H2D99328D2D993","均线排列动量质量因子","term","均线排列动量质量因子","📖 概念\均线排列动量质量因子.md","09_术语库\TERM-20260604T000000Z-mig-H2D99328D2D993_均线排列动量质量因子.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-H5606086056060","慢快动量转折门控","term","慢快动量转折门控","📖 概念\慢快动量转折门控.md","09_术语库\TERM-20260604T000000Z-mig-H5606086056060_慢快动量转折门控.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H78CD7C1978CD7","平滑上涨","term","平滑上涨","📖 概念\平滑上涨.md","09_术语库\TERM-20260603T000000Z-mig-H78CD7C1978CD7_平滑上涨.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H8848B3568848B","时间序列动量","term","时间序列动量","📖 概念\时间序列动量.md","09_术语库\TERM-20260603T000000Z-mig-H8848B3568848B_时间序列动量.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-HB907B286B907B","市场状态动量","term","市场状态动量","📖 概念\市场状态动量.md","09_术语库\TERM-20260603T000000Z-mig-HB907B286B907B_市场状态动量.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H21F8671921F86","市场状态识别","term","市场状态识别","📖 概念\市场状态识别.md","09_术语库\TERM-20260603T000000Z-mig-H21F8671921F86_市场状态识别.md","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-HA69B2BAAA69B2","市场状态识别与切换门控","term","市场状态识别与切换门控","📖 概念\市场状态识别与切换门控.md","09_术语库\TERM-20260604T000000Z-mig-HA69B2BAAA69B2_市场状态识别与切换门控.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-HD3C3DFE1D3C3D","阴跌状态","term","阴跌状态","📖 概念\阴跌状态.md","09_术语库\TERM-20260603T000000Z-mig-HD3C3DFE1D3C3D_阴跌状态.md","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-H0619BBC80619B","中期动量","term","中期动量","📖 概念\中期动量.md","09_术语库\TERM-20260603T000000Z-mig-H0619BBC80619B_中期动量.md","migrated_unverified","legacy_raw"
"LIT-20260603T000000Z-mig-2026YYH001V13V22282F","2026_yyh001_七星动量v13阴跌v2","literature","L20260529-002 七星-动量v13-阴跌v2-五年2147%回撤15%","📚 文献\2026_yyh001_七星动量v13阴跌v2.md","06_文献资料\08_已归档\LIT-20260603T000000Z-mig-2026YYH001V13V22282F_L20260529-002七星-动量v13-阴跌v2-五年2147%回撤15%.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-07C58B3","07-市场状态识别专题","archive","市场状态识别专题","📦 归档\07-市场状态识别专题.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-07C58B3_市场状态识别专题.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-10ETFD4789","10-ETF阴跌防守专题","archive","ETF阴跌防守专题","📦 归档\10-ETF阴跌防守专题.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-10ETFD4789_ETF阴跌防守专题.md","migrated_unverified","legacy_raw"
"MIG-20260529T000000Z-mig-BLF2026052900668F30","BLF20260529-006","archive","BLF20260529-006 ETF阴跌防守与动量轮动研究信念","📦 归档\BLF20260529-006_ETF阴跌防守与动量轮动研究信念.md","12_归档\旧库迁移原文\MIG-20260529T000000Z-mig-BLF2026052900668F30_BLF20260529-006ETF阴跌防守与动量轮动研究信念.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-R010A5B305","R010-A","archive","R010-A 市场状态识别规格书","📦 归档\R010-A_市场状态识别规格书.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-R010A5B305_R010-A市场状态识别规格书.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-R010BE9778","R010-B","archive","R010-B ETF双池分级防守规则草案","📦 归档\R010-B_ETF双池分级防守规则草案.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-R010BE9778_R010-BETF双池分级防守规则草案.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-R010B3A2SLOPE004B3CAP90C6BA5","R010B3_A2-slope004与B3-cap90组合候选规格","archive","R010B3 A2-slope004与B3-cap90组合候选规格","📦 归档\R010B3_A2-slope004与B3-cap90组合候选规格.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-R010B3A2SLOPE004B3CAP90C6BA5_R010B3A2-slope004与B3-cap90组合候选规格.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-R010B3B3GATE938DA","R010B3_B3-gate默认关闭观察方案","archive","R010B3 B3-gate默认关闭观察方案","📦 归档\R010B3_B3-gate默认关闭观察方案.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-R010B3B3GATE938DA_R010B3B3-gate默认关闭观察方案.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-R010B4TIEREDV2C0969","R010B4_tiered-v2默认关闭影子观察方案","archive","R010B4 tiered-v2默认关闭影子观察方案","📦 归档\R010B4_tiered-v2默认关闭影子观察方案.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-R010B4TIEREDV2C0969_R010B4tiered-v2默认关闭影子观察方案.md","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-R010B5R4008A6","R010B5R4_非线性回撤预算默认关闭影子观察方案","archive","R010B5R4 非线性回撤预算默认关闭影子观察方案","📦 归档\R010B5R4_非线性回撤预算默认关闭影子观察方案.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-R010B5R4008A6_R010B5R4非线性回撤预算默认关闭影子观察方案.md","migrated_unverified","legacy_raw"
"MIG-20260531T000000Z-mig-R20260531026B216F","R20260531-026","archive","R20260531-026 防守池分层与吸血撤离信号研究计划","📦 归档\R20260531-026_防守池分层与吸血撤离信号研究计划.md","12_归档\旧库迁移原文\MIG-20260531T000000Z-mig-R20260531026B216F_R20260531-026防守池分层与吸血撤离信号研究计划.md","migrated_unverified","legacy_raw"
"DEC-20260529T000000Z-mig-D20260529R014REVISEBUCKE4EB82","D20260529-R014-revise-bucket-filter","decision","D20260529-R014 阴跌分桶过滤修订","🔀 决策\D20260529-R014-阴跌分桶过滤修订.md","05_研究决策\DEC-20260529T000000Z-mig-D20260529R014REVISEBUCKE4EB82_D20260529-R014阴跌分桶过滤修订.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601B3GATEOFFLINEOBC62D6","D20260601-B3-gate-offline-observation-replay-focus","decision","D20260601-B3-gate 离线观察复盘聚焦误拦截与漏报","🔀 决策\D20260601-B3-gate离线观察复盘聚焦误拦截与漏报.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601B3GATEOFFLINEOBC62D6_D20260601-B3-gate离线观察复盘聚焦误拦截与漏报.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601B3GATEBLOCKEDLO7478C","D20260601-B3-gate-blocked-low-top1-slope-2024-pressure-pass","decision","D20260601-B3-gate 误拦截 Top1 斜率放松 2024 压力测试通过","🔀 决策\D20260601-B3-gate误拦截Top1斜率放松2024压力测试通过.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601B3GATEBLOCKEDLO7478C_D20260601-B3-gate误拦截Top1斜率放松2024压力测试通过.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601B3GATEBLOCKEDLOEB885","D20260601-B3-gate-blocked-low-top1-slope-preregister","decision","D20260601-B3-gate 误拦截 Top1 斜率放松进入预注册","🔀 决策\D20260601-B3-gate误拦截Top1斜率放松进入预注册.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601B3GATEBLOCKEDLOEB885_D20260601-B3-gate误拦截Top1斜率放松进入预注册.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B3CAP90PREA4C3BC","D20260601-R010B3-cap90-pre-audit","decision","D20260601-R010B3 cap90 进入组合前审计","🔀 决策\D20260601-R010B3-cap90进入组合前审计.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B3CAP90PREA4C3BC_D20260601-R010B3cap90进入组合前审计.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B3GATEPROMO642D2","D20260601-R010B3-gate-promote","decision","D20260601-R010B3 gate 成为当前主候选","🔀 决策\D20260601-R010B3-gate成为当前主候选.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B3GATEPROMO642D2_D20260601-R010B3gate成为当前主候选.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B3LIMITED2REC37B","D20260601-R010B3-limited2-revise","decision","D20260601-R010B3 limited2 低扰动不直接采纳","🔀 决策\D20260601-R010B3-limited2低扰动不直接采纳.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B3LIMITED2REC37B_D20260601-R010B3limited2低扰动不直接采纳.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B4B3GATEF57BE","D20260601-R010B4-B3Gate强度分层","decision","D20260601-R010B4 B3Gate强度分层进入预注册","🔀 决策\D20260601-R010B4-B3Gate强度分层进入预注册.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B4B3GATEF57BE_D20260601-R010B4B3Gate强度分层进入预注册.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2B1C7E","D20260601-R010B4-tiered-v2","decision","D20260601-R010B4 tiered-v2进入预注册","🔀 决策\D20260601-R010B4-tiered-v2进入预注册.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2B1C7E_D20260601-R010B4tiered-v2进入预注册.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2L9DDC1","D20260601-R010B4-tiered-v2-live-mapped","decision","D20260601-R010B4 tiered-v2默认关闭映射完成","🔀 决策\D20260601-R010B4-tiered-v2默认关闭映射完成.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2L9DDC1_D20260601-R010B4tiered-v2默认关闭映射完成.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2S2C942","D20260601-R010B4-tiered-v2-split-pass","decision","D20260601-R010B4 tiered-v2四段验证通过","🔀 决策\D20260601-R010B4-tiered-v2四段验证通过.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2S2C942_D20260601-R010B4tiered-v2四段验证通过.md","migrated_unverified","legacy_raw"
"DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2S038BC","D20260601-R010B4-tiered-v2-shadow-observe","decision","D20260601-R010B4 tiered-v2影子观察方案建立","🔀 决策\D20260601-R010B4-tiered-v2影子观察方案建立.md","05_研究决策\DEC-20260601T000000Z-mig-D20260601R010B4TIEREDV2S038BC_D20260601-R010B4tiered-v2影子观察方案建立.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602B3GATEBLOCKEDLOD63E8","D20260602-B3-gate-blocked-low-top1-slope-split-pressure","decision","D20260602-B3-gate 误拦截 Top1 斜率放松四段压力测试完成","🔀 决策\D20260602-B3-gate误拦截Top1斜率放松四段压力测试完成.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602B3GATEBLOCKEDLOD63E8_D20260602-B3-gate误拦截Top1斜率放松四段压力测试完成.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602B3GATEBLOCKEDLO88061","D20260602-B3-gate-blocked-low-top1-slope-harm-attribution","decision","D20260602-B3-gate 误拦截 Top1 斜率放松误伤归因完成","🔀 决策\D20260602-B3-gate误拦截Top1斜率放松误伤归因完成.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602B3GATEBLOCKEDLO88061_D20260602-B3-gate误拦截Top1斜率放松误伤归因完成.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602M002ETFFAMILYST9075B","D20260602-M002-etf-family-state-attribution","decision","D20260602-M002 ETF族状态归因首轮完成","🔀 决策\D20260602-M002-ETF族状态归因首轮完成.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602M002ETFFAMILYST9075B_D20260602-M002ETF族状态归因首轮完成.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602M003NONETFEQUITD2ACA","D20260602-M003-non-etf-equity-discovery","decision","D20260602-M003 非ETF可比净值候选发现完成","🔀 决策\D20260602-M003-非ETF可比净值候选发现完成.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602M003NONETFEQUITD2ACA_D20260602-M003非ETF可比净值候选发现完成.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602M004NONETFCONFI00E8E","D20260602-M004-non-etf-config-audit-done","decision","D20260602-M004 非ETF候选配置审计完成","🔀 决策\D20260602-M004-非ETF候选配置审计完成.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602M004NONETFCONFI00E8E_D20260602-M004非ETF候选配置审计完成.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602M004NONETFFULLC2EA04","D20260602-M004-non-etf-full-cycle-baseline-prereg","decision","D20260602-M004 非ETF全周期基准净值补齐进入预注册","🔀 决策\D20260602-M004-非ETF全周期基准净值补齐进入预注册.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602M004NONETFFULLC2EA04_D20260602-M004非ETF全周期基准净值补齐进入预注册.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602R010B2A2SECONDLF0342","D20260602-R010B2-A2-second-level-gate-profit-patch-only","decision","D20260602-R010B2 A2二级观察门控仅收益修补观察","🔀 决策\D20260602-R010B2-A2二级观察门控仅收益修补观察.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602R010B2A2SECONDLF0342_D20260602-R010B2A2二级观察门控仅收益修补观察.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602R010B4TIEREDV2L1E7FB","D20260602-R010B4-tiered-v2-live-enabled","decision","D20260602-R010B4 tiered-v2实盘启用","🔀 决策\D20260602-R010B4-tiered-v2实盘启用.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602R010B4TIEREDV2L1E7FB_D20260602-R010B4tiered-v2实盘启用.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602R010B5R1NONLINEF8DDA","D20260602-R010B5R1-nonlinear-drawdown-proxy","decision","D20260602-R010B5R1 非线性组合回撤预算代理审计通过","🔀 决策\D20260602-R010B5R1-非线性组合回撤预算代理审计通过.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602R010B5R1NONLINEF8DDA_D20260602-R010B5R1非线性组合回撤预算代理审计通过.md","migrated_unverified","legacy_raw"
"DEC-20260602T000000Z-mig-D20260602R010B5R2FOURSEG7D2AC","D20260602-R010B5R2-four-segment-true-path","decision","D20260602-R010B5R2 非线性回撤预算四段真实路径验证通过","🔀 决策\D20260602-R010B5R2-非线性回撤预算四段真实路径验证通过.md","05_研究决策\DEC-20260602T000000Z-mig-D20260602R010B5R2FOURSEG7D2AC_D20260602-R010B5R2非线性回撤预算四段真实路径验证通过.md","migrated_unverified","legacy_raw"
