"new_id","mig_batch_id","old_id","kind","old_relative_path","new_relative_path","title","migration_status","evidence_level"
"IDEA-20260523T000000Z-mig-I202605230081F202","MIG-20260605T120000Z-mig-BATCH","I20260523-008","idea","💡 想法\2026-05-23\I20260523-008_Carry跨资产收益因子.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I202605230081F202_I20260523-008Carry跨资产收益因子.md","I20260523-008 Carry跨资产收益因子","migrated_unverified","legacy_raw"
"IDEA-20260523T000000Z-mig-I20260523009CE58F","MIG-20260605T120000Z-mig-BATCH","I20260523-009","idea","💡 想法\2026-05-23\I20260523-009_质量防御与价值质量组合.md","07_因子数据灵感\04_模块\IDEA-20260523T000000Z-mig-I20260523009CE58F_I20260523-009质量防御与价值质量组合.md","I20260523-009 质量防御与价值质量组合","migrated_unverified","legacy_raw"
"IDEA-20260528T000000Z-mig-I202605280017F79E","MIG-20260605T120000Z-mig-BATCH","I20260528-001","idea","💡 想法\2026-05-28\I20260528-001_市场环境策略路由器.md","07_因子数据灵感\04_模块\IDEA-20260528T000000Z-mig-I202605280017F79E_I20260528-001市场环境策略路由器.md","I20260528-001 市场环境策略路由器","migrated_unverified","legacy_raw"
"IDEA-20260529T000000Z-mig-I2026052900174B28","MIG-20260605T120000Z-mig-BATCH","I20260529-001","idea","💡 想法\2026-05-29\I20260529-001_涨停事件价量结构因子.md","07_因子数据灵感\04_模块\IDEA-20260529T000000Z-mig-I2026052900174B28_I20260529-001涨停事件价量结构因子.md","I20260529-001 涨停事件价量结构因子","migrated_unverified","legacy_raw"
"IDEA-20260529T000000Z-mig-I202605290024DABB","MIG-20260605T120000Z-mig-BATCH","I20260529-002","idea","💡 想法\2026-05-29\I20260529-002_集合竞价成交容量模型.md","07_因子数据灵感\04_模块\IDEA-20260529T000000Z-mig-I202605290024DABB_I20260529-002集合竞价成交容量模型.md","I20260529-002 集合竞价成交容量模型","migrated_unverified","legacy_raw"
"IDEA-20260529T000000Z-mig-I2026052900393F1F","MIG-20260605T120000Z-mig-BATCH","I20260529-003","idea","💡 想法\2026-05-29\I20260529-003_ETF阴跌防守切换.md","07_因子数据灵感\04_模块\IDEA-20260529T000000Z-mig-I2026052900393F1F_I20260529-003ETF阴跌防守切换.md","I20260529-003 ETF阴跌防守切换","migrated_unverified","legacy_raw"
"IDEA-20260529T000000Z-mig-I20260529004B2C61","MIG-20260605T120000Z-mig-BATCH","I20260529-004","idea","💡 想法\2026-05-29\I20260529-004_均线排列动量质量因子.md","07_因子数据灵感\04_模块\IDEA-20260529T000000Z-mig-I20260529004B2C61_I20260529-004均线排列动量质量因子.md","I20260529-004 均线排列动量质量因子","migrated_unverified","legacy_raw"
"IDEA-20260531T000000Z-mig-I2026053100156ACB","MIG-20260605T120000Z-mig-BATCH","I20260531-001","idea","💡 想法\2026-05-31\I20260531-001_慢快动量转折门控.md","07_因子数据灵感\04_模块\IDEA-20260531T000000Z-mig-I2026053100156ACB_I20260531-001慢快动量转折门控.md","I20260531-001 慢快动量转折门控","migrated_unverified","legacy_raw"
"MIG-20260605T000000Z-mig-H4F6B7BFB4F6B7","MIG-20260605T120000Z-mig-BATCH","📊 驾驶舱","archive","📊 驾驶舱.md","12_归档\旧库迁移原文\MIG-20260605T000000Z-mig-H4F6B7BFB4F6B7_研究资产清单.md","研究资产清单","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H8AA79C3C8AA79","MIG-20260605T120000Z-mig-BATCH","📋 变更日志","archive","📋 变更日志.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H8AA79C3C8AA79_变更日志.md","变更日志","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-AGENTB4B84","MIG-20260605T120000Z-mig-BATCH","Agent操作规范","archive","📐 规范\Agent\Agent操作规范.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-AGENTB4B84_量化研究库Agent操作规范.md","量化研究库 Agent 操作规范","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-AGENTBE612","MIG-20260605T120000Z-mig-BATCH","Agent研究方法论交接","archive","📐 规范\Agent\Agent研究方法论交接.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-AGENTBE612_Agent研究方法论交接.md","Agent 研究方法论交接","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-AGENTCD662","MIG-20260605T120000Z-mig-BATCH","新Agent接手指南","archive","📐 规范\Agent\新Agent接手指南.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-AGENTCD662_新Agent接手指南.md","新Agent接手指南","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H6C96A6D56C96A","MIG-20260605T120000Z-mig-BATCH","子代理分层调度研究方案","archive","📐 规范\Agent\子代理分层调度研究方案.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H6C96A6D56C96A_子代理分层调度研究方案.md","子代理分层调度研究方案","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-AGENT9D351","MIG-20260605T120000Z-mig-BATCH","最新Agent移交","archive","📐 规范\Agent\最新Agent移交.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-AGENT9D351_当前Agent移交：R010-B3与R026.md","当前Agent移交：R010-B3 与 R026","migrated_unverified","legacy_raw"
"MIG-20260605T000000Z-mig-R010A870D6","MIG-20260605T120000Z-mig-BATCH","R010-A","archive","📐 规范\R010A10S1_A2换仓延迟确认默认关闭Shadow观察规格.md","12_归档\旧库迁移原文\MIG-20260605T000000Z-mig-R010A870D6_R010A10S1A2换仓延迟确认默认关闭Shadow观察规格.md","R010A10S1 A2 换仓延迟确认默认关闭 Shadow 观察规格","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-R010A45E4E","MIG-20260605T120000Z-mig-BATCH","R010-A","archive","📐 规范\R010A9S3_过滤层稀薄Top3默认关闭Shadow观察规格.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-R010A45E4E_R010A9S3过滤层稀薄Top3默认关闭Shadow观察规格.md","R010A9S3 过滤层稀薄 Top3 默认关闭 Shadow 观察规格","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H40D5A2D040D5A","MIG-20260605T120000Z-mig-BATCH","低波防御类策略","archive","📐 规范\标签词典\收益来源\低波防御类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H40D5A2D040D5A_低波防御类策略.md","低波防御类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HF2DED1A6F2DED","MIG-20260605T120000Z-mig-BATCH","多策略融合类策略","archive","📐 规范\标签词典\收益来源\多策略融合类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HF2DED1A6F2DED_多策略融合类策略.md","多策略融合类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H006FCDB3006FC","MIG-20260605T120000Z-mig-BATCH","横截面动量类策略","archive","📐 规范\标签词典\收益来源\横截面动量类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H006FCDB3006FC_横截面动量类策略.md","横截面动量类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H829DB241829DB","MIG-20260605T120000Z-mig-BATCH","价值类策略","archive","📐 规范\标签词典\收益来源\价值类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H829DB241829DB_价值类策略.md","价值类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HDC35F499DC35F","MIG-20260605T120000Z-mig-BATCH","趋势跟踪类策略","archive","📐 规范\标签词典\收益来源\趋势跟踪类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HDC35F499DC35F_趋势跟踪类策略.md","趋势跟踪类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H5AA732D65AA73","MIG-20260605T120000Z-mig-BATCH","事件驱动类策略","archive","📐 规范\标签词典\收益来源\事件驱动类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H5AA732D65AA73_事件驱动类策略.md","事件驱动类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HF2DE778DF2DE7","MIG-20260605T120000Z-mig-BATCH","小市值类策略","archive","📐 规范\标签词典\收益来源\小市值类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HF2DE778DF2DE7_小市值类策略.md","小市值类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H0C284CA20C284","MIG-20260605T120000Z-mig-BATCH","质量类策略","archive","📐 规范\标签词典\收益来源\质量类策略.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H0C284CA20C284_质量类策略.md","质量类策略","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-ETF696E8","MIG-20260605T120000Z-mig-BATCH","ETF轮动","archive","📐 规范\标签词典\执行方式\ETF轮动.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-ETF696E8_ETF轮动.md","ETF轮动","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-TOP124B34","MIG-20260605T120000Z-mig-BATCH","Top1集中","archive","📐 规范\标签词典\执行方式\Top1集中.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-TOP124B34_Top1集中.md","Top1集中","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-TOPN46B0A","MIG-20260605T120000Z-mig-BATCH","TopN分散","archive","📐 规范\标签词典\执行方式\TopN分散.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-TOPN46B0A_TopN分散.md","TopN分散","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H4FAB8B6E4FAB8","MIG-20260605T120000Z-mig-BATCH","风控叠加","archive","📐 规范\标签词典\执行方式\风控叠加.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H4FAB8B6E4FAB8_风控叠加.md","风控叠加","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H4E2CD12E4E2CD","MIG-20260605T120000Z-mig-BATCH","股票轮动","archive","📐 规范\标签词典\执行方式\股票轮动.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H4E2CD12E4E2CD_股票轮动.md","股票轮动","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H0D3399240D339","MIG-20260605T120000Z-mig-BATCH","集合竞价","archive","📐 规范\标签词典\执行方式\集合竞价.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H0D3399240D339_集合竞价.md","集合竞价","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-T9CC5C","MIG-20260605T120000Z-mig-BATCH","日内做T","archive","📐 规范\标签词典\执行方式\日内做T.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-T9CC5C_日内做T.md","日内做T","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H3F096DB93F096","MIG-20260605T120000Z-mig-BATCH","日频调仓","archive","📐 规范\标签词典\执行方式\日频调仓.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H3F096DB93F096_日频调仓.md","日频调仓","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HE6D16A45E6D16","MIG-20260605T120000Z-mig-BATCH","周频调仓","archive","📐 规范\标签词典\执行方式\周频调仓.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HE6D16A45E6D16_周频调仓.md","周频调仓","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-ETFB90A0","MIG-20260605T120000Z-mig-BATCH","ETF阴跌防守研究方法库","archive","📐 规范\方法库\ETF阴跌防守研究方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-ETFB90A0_ETF阴跌防守研究方法库.md","ETF阴跌防守研究方法库","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-R010CA8B6C","MIG-20260605T120000Z-mig-BATCH","R010C动作启动信号文献适配清单","archive","📐 规范\方法库\R010C动作启动信号文献适配清单.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-R010CA8B6C_R010C动作启动信号文献适配清单.md","R010C动作启动信号文献适配清单","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H112802DF11280","MIG-20260605T120000Z-mig-BATCH","多策略市场状态切换方法库","archive","📐 规范\方法库\多策略市场状态切换方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H112802DF11280_多策略市场状态切换方法库.md","多策略市场状态切换方法库","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HB0842070B0842","MIG-20260605T120000Z-mig-BATCH","方法库说明","archive","📐 规范\方法库\方法库说明.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HB0842070B0842_方法库.md","方法库","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-HD26A7151D26A7","MIG-20260605T120000Z-mig-BATCH","非线性仓位控制前向观察执行规程","archive","📐 规范\方法库\非线性仓位控制前向观察执行规程.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-HD26A7151D26A7_非线性仓位控制前向观察执行规程.md","非线性仓位控制前向观察执行规程","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H2CC516A62CC51","MIG-20260605T120000Z-mig-BATCH","市场状态识别方法库","archive","📐 规范\方法库\市场状态识别方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H2CC516A62CC51_M20260522-001市场状态识别方法库.md","M20260522-001 市场状态识别方法库","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HE7A092EDE7A09","MIG-20260605T120000Z-mig-BATCH","市场状态信号接口设计","archive","📐 规范\方法库\市场状态信号接口设计.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HE7A092EDE7A09_M20260523-001市场状态信号接口设计.md","M20260523-001 市场状态信号接口设计","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H63B9117363B91","MIG-20260605T120000Z-mig-BATCH","涨停事件研究方法库","archive","📐 规范\方法库\涨停事件研究方法库.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H63B9117363B91_涨停事件研究方法库.md","涨停事件研究方法库","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H943C8E2F943C8","MIG-20260605T120000Z-mig-BATCH","状态转变信号候选清单","archive","📐 规范\方法库\状态转变信号候选清单.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H943C8E2F943C8_状态转变信号候选清单.md","状态转变信号候选清单","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-H1AE64D3F1AE64","MIG-20260605T120000Z-mig-BATCH","模块分类标准","archive","📐 规范\模块分类标准.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-H1AE64D3F1AE64_模块分类标准.md","模块分类标准","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-IYYYYMMDD001486A3","MIG-20260605T120000Z-mig-BATCH","IYYYYMMDD-001","archive","📐 规范\模块想法模板.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-IYYYYMMDD001486A3_IYYYYMMDD-001模块想法名称.md","IYYYYMMDD-001 模块想法名称","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HC68874B7C6887","MIG-20260605T120000Z-mig-BATCH","策略分类体系","archive","📐 规范\治理\策略分类体系.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HC68874B7C6887_策略分类体系.md","策略分类体系","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HDEE48BACDEE48","MIG-20260605T120000Z-mig-BATCH","架构重构方案","archive","📐 规范\治理\架构重构方案.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HDEE48BACDEE48_研究库架构重构方案.md","研究库架构重构方案","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HCAFE71D2CAFE7","MIG-20260605T120000Z-mig-BATCH","实验表格管理规范","archive","📐 规范\治理\实验表格管理规范.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HCAFE71D2CAFE7_实验表格管理规范.md","实验表格管理规范","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-HE0F1A061E0F1A","MIG-20260605T120000Z-mig-BATCH","术语词典","archive","📐 规范\治理\术语词典.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-HE0F1A061E0F1A_术语词典.md","术语词典","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-H3B73B18C3B73B","MIG-20260605T120000Z-mig-BATCH","未来函数审计清单","archive","📐 规范\治理\未来函数审计清单.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-H3B73B18C3B73B_未来函数审计清单.md","未来函数审计清单","migrated_unverified","legacy_raw"
"MIG-20260603T000000Z-mig-HF8FBC79CF8FBC","MIG-20260605T120000Z-mig-BATCH","文献准入门槛","archive","📐 规范\治理\文献准入门槛.md","12_归档\旧库迁移原文\MIG-20260603T000000Z-mig-HF8FBC79CF8FBC_文献准入门槛.md","文献准入门槛","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HAADD08A9AADD0","MIG-20260605T120000Z-mig-BATCH","研究方法论","archive","📐 规范\治理\研究方法论.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HAADD08A9AADD0_假设驱动的贝叶斯证伪研究循环.md","假设驱动的贝叶斯证伪研究循环","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HC69D737CC69D7","MIG-20260605T120000Z-mig-BATCH","研究库格式规范标准","archive","📐 规范\治理\研究库格式规范标准.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HC69D737CC69D7_研究库格式规范标准.md","研究库格式规范标准","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-HC9BAC9A9C9BAC","MIG-20260605T120000Z-mig-BATCH","研究库健康检查","archive","📐 规范\治理\研究库健康检查.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-HC9BAC9A9C9BAC_研究库健康检查.md","研究库健康检查","migrated_unverified","legacy_raw"
"MIG-20260604T000000Z-mig-2026060444839","MIG-20260605T120000Z-mig-BATCH","研究库重构审计与二期方案_20260604","archive","📐 规范\治理\研究库重构审计与二期方案_20260604.md","12_归档\旧库迁移原文\MIG-20260604T000000Z-mig-2026060444839_研究库重构审计与二期方案.md","研究库重构审计与二期方案","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-1NTOPNCF840","MIG-20260605T120000Z-mig-BATCH","1N与TopN权重基准","term","📖 概念\1N与TopN权重基准.md","09_术语库\TERM-20260604T000000Z-mig-1NTOPNCF840_1N与TopN权重基准.md","1N与TopN权重基准","migrated_unverified","legacy_raw"
"TERM-20260603T000000Z-mig-520E6F3","MIG-20260605T120000Z-mig-BATCH","52周高点","term","📖 概念\52周高点.md","09_术语库\TERM-20260603T000000Z-mig-520E6F3_52周高点.md","52周高点","migrated_unverified","legacy_raw"
"TERM-20260604T000000Z-mig-A0D83C6","MIG-20260605T120000Z-mig-BATCH","A0","term","📖 概念\A0.md","09_术语库\TERM-20260604T000000Z-mig-A0D83C6_A0.md","A0","migrated_unverified","legacy_raw"
