"File","ExId","Status","RD","DEC","Title","Path"
"EX-20260523T000000Z-mig-R202605230131EEE2_R20260523-013R010-A市场状态识别规格书与接口设计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260523T000000Z-mig-R202605230131EEE2_R20260523-013R010-A市场状态识别规格书与接口设计.md"
"EX-20260523T000000Z-mig-S202605230011898F_S20260523-001小市值日内做T11年回撤归因分析.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260523T000000Z-mig-S202605230011898F_S20260523-001小市值日内做T11年回撤归因分析.md"
"EX-20260523T000000Z-mig-S2026052300264EF6_S20260523-002复利年化100%+最大回撤20%（无杠杆）目标可行性评估.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260523T000000Z-mig-S2026052300264EF6_S20260523-002复利年化100%+最大回撤20%（无杠杆）目标可行性评估.md"
"EX-20260529T000000Z-mig-R202605290143E871_R20260529-014ETF双池全向防阴跌模块初测.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260529T000000Z-mig-R202605290143E871_R20260529-014ETF双池全向防阴跌模块初测.md"
"EX-20260530T000000Z-mig-R20260530015AD411_R20260530-015原策略阴跌v2二元KillSwitch复现—KILL.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R20260530015AD411_R20260530-015原策略阴跌v2二元KillSwitch复现—KILL.md"
"EX-20260530T000000Z-mig-R202605300163B929_R20260530-016R010-A市场状态日志首轮实现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R202605300163B929_R20260530-016R010-A市场状态日志首轮实现.md"
"EX-20260530T000000Z-mig-R20260530017F49CB_R20260530-017ETF双池Top5绝对动量2022复核.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R20260530017F49CB_R20260530-017ETF双池Top5绝对动量2022复核.md"
"EX-20260530T000000Z-mig-R20260530018AF185_R20260530-018ETF双池回撤归因与防守触发源分析.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R20260530018AF185_R20260530-018ETF双池回撤归因与防守触发源分析.md"
"EX-20260530T000000Z-mig-R2026053001929DC0_R20260530-019ETF双池池内动量衰竭状态日志.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R2026053001929DC0_R20260530-019ETF双池池内动量衰竭状态日志.md"
"EX-20260530T000000Z-mig-R20260530020A41379_R010-B分段恢复记录.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R20260530020A41379_R010-B分段恢复记录.md"
"EX-20260530T000000Z-mig-R20260530020B9CD4_R20260530-020R010B分级防守动作日志实现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R20260530020B9CD4_R20260530-020R010B分级防守动作日志实现.md"
"EX-20260530T000000Z-mig-R20260530021A0513_R20260530-021R010B1动作消融首轮实现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260530T000000Z-mig-R20260530021A0513_R20260530-021R010B1动作消融首轮实现.md"
"EX-20260531T000000Z-mig-R20260531022FBCDE_R20260531-022R010C动作启动信号诊断与重构.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260531T000000Z-mig-R20260531022FBCDE_R20260531-022R010C动作启动信号诊断与重构.md"
"EX-20260531T000000Z-mig-R20260531023034D3_R20260531-023R010C1A0失速预警日志层首轮.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260531T000000Z-mig-R20260531023034D3_R20260531-023R010C1A0失速预警日志层首轮.md"
"EX-20260531T000000Z-mig-R202605310243C468_R20260531-024R010DA1风险层启动方式重估.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260531T000000Z-mig-R202605310243C468_R20260531-024R010DA1风险层启动方式重估.md"
"EX-20260531T000000Z-mig-R20260531025E9D88_R20260531-025R010E条件抗抖首轮.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260531T000000Z-mig-R20260531025E9D88_R20260531-025R010E条件抗抖首轮.md"
"EX-20260601T000000Z-mig-R20260601027BA5D5_R20260601-027R026B-light-cap90离线实验预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260601T000000Z-mig-R20260601027BA5D5_R20260601-027R026B-light-cap90离线实验预注册.md"
"EX-20260601T000000Z-mig-R2026060102845A88_R20260601-028B3-gate误拦截Top1斜率放松预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260601T000000Z-mig-R2026060102845A88_R20260601-028B3-gate误拦截Top1斜率放松预注册.md"
"EX-20260601T000000Z-mig-R20260601028R010B405D28_R20260601-028R010B4B3Gate强度分层研究.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260601T000000Z-mig-R20260601028R010B405D28_R20260601-028R010B4B3Gate强度分层研究.md"
"EX-20260601T000000Z-mig-R20260601029R010B4TIEREDBD1A7_R20260601-029R010B4B3Gate强度分层TieredV2预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260601T000000Z-mig-R20260601029R010B4TIEREDBD1A7_R20260601-029R010B4B3Gate强度分层TieredV2预注册.md"
"EX-20260602T000000Z-mig-R20260602030R020A2021GAPEE638_R20260602-030R020A2021慢性失速只读标签审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602030R020A2021GAPEE638_R20260602-030R020A2021慢性失速只读标签审计.md"
"EX-20260602T000000Z-mig-R20260602031R020AWATCHLA58A1D_R20260602-031R020A只读标签独立窗口外推审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602031R020AWATCHLA58A1D_R20260602-031R020A只读标签独立窗口外推审计.md"
"EX-20260602T000000Z-mig-R20260602032R020BSINGLEL341C9_R20260602-032R020B单项只读标签拆解与触发器边界.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602032R020BSINGLEL341C9_R20260602-032R020B单项只读标签拆解与触发器边界.md"
"EX-20260602T000000Z-mig-R20260602033R010B2A2SECO816D2_R20260602-033R010B2A2二级观察门控稳定性复核.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602033R010B2A2SECO816D2_R20260602-033R010B2A2二级观察门控稳定性复核.md"
"EX-20260602T000000Z-mig-R20260602034M001MULTISTR23132_R20260602-034M001多策略状态归因输入清单审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602034M001MULTISTR23132_R20260602-034M001多策略状态归因输入清单审计.md"
"EX-20260602T000000Z-mig-R20260602035M002ETFFAMILC9A62_R20260602-035M002ETF族状态归因首轮.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602035M002ETFFAMILC9A62_R20260602-035M002ETF族状态归因首轮.md"
"EX-20260602T000000Z-mig-R20260602036M003NONETFEQ9CBB6_R20260602-036M003非ETF可比净值候选发现审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602036M003NONETFEQ9CBB6_R20260602-036M003非ETF可比净值候选发现审计.md"
"EX-20260602T000000Z-mig-R20260602037M004NONETFFUAE5C7_R20260602-037M004非ETF全周期基准净值补齐预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602037M004NONETFFUAE5C7_R20260602-037M004非ETF全周期基准净值补齐预注册.md"
"EX-20260602T000000Z-mig-R20260602038M004SMALLCAPBA40D_R20260602-038M004小市值四段长测预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602038M004SMALLCAPBA40D_R20260602-038M004小市值四段长测预注册.md"
"EX-20260602T000000Z-mig-R20260602039M004SMALLCAP49B5A_R20260602-039M004小市值状态归因预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602039M004SMALLCAP49B5A_R20260602-039M004小市值状态归因预注册.md"
"EX-20260602T000000Z-mig-R20260602040M005SMALLCAP06C5C_R20260602-040M005小盘专用状态标签预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602040M005SMALLCAP06C5C_R20260602-040M005小盘专用状态标签预注册.md"
"EX-20260602T000000Z-mig-R20260602041M006SMALLCAP55C41_R20260602-041M006小盘SchemaOnly指标只读覆盖率审计预注册与首轮完成.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602041M006SMALLCAP55C41_R20260602-041M006小盘SchemaOnly指标只读覆盖率审计预注册与首轮完成.md"
"EX-20260602T000000Z-mig-R20260602042M007SMALLCAP316A0_R20260602-042M007小盘专用状态标签构造与R039面板归因预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602042M007SMALLCAP316A0_R20260602-042M007小盘专用状态标签构造与R039面板归因预注册.md"
"EX-20260602T000000Z-mig-R20260602043R010B579B9A_R20260602-043R010B5组合回撤预算动态缩放预注册与代理审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602043R010B579B9A_R20260602-043R010B5组合回撤预算动态缩放预注册与代理审计.md"
"EX-20260602T000000Z-mig-R20260602044R010B5R1F6278_R20260602-044R010B5R1非线性组合回撤预算预注册与代理审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602044R010B5R1F6278_R20260602-044R010B5R1非线性组合回撤预算预注册与代理审计.md"
"EX-20260602T000000Z-mig-R20260602045R010B5R2EA305_R20260602-045R010B5R2非线性回撤预算真实路径2024Smoke.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602045R010B5R2EA305_R20260602-045R010B5R2非线性回撤预算真实路径2024Smoke.md"
"EX-20260602T000000Z-mig-R20260602046R010B5R37ED93_R20260602-046R010B5R3非线性回撤预算参数敏感性与成本扰动预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602046R010B5R37ED93_R20260602-046R010B5R3非线性回撤预算参数敏感性与成本扰动预注册.md"
"EX-20260602T000000Z-mig-R20260602047R010B5R4B8F95_R20260602-047R010B5R4非线性回撤预算默认关闭影子观察预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260602T000000Z-mig-R20260602047R010B5R4B8F95_R20260602-047R010B5R4非线性回撤预算默认关闭影子观察预注册.md"
"EX-20260603T000000Z-mig-R20260603048R010B5R514C00_R20260603-048R010B5R5非线性回撤预算严格Counterfactual预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603048R010B5R514C00_R20260603-048R010B5R5非线性回撤预算严格Counterfactual预注册.md"
"EX-20260603T000000Z-mig-R20260603049R010B5R5R161773_R20260603-049R010B5R5R1非线性回撤预算失败归因与公式修订预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603049R010B5R5R161773_R20260603-049R010B5R5R1非线性回撤预算失败归因与公式修订预注册.md"
"EX-20260603T000000Z-mig-R20260603050R010B5R5R253641_R20260603-050R010B5R5R2事件环境字段日志补全预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603050R010B5R5R253641_R20260603-050R010B5R5R2事件环境字段日志补全预注册.md"
"EX-20260603T000000Z-mig-R20260603051R010B5R5R22B6B7_R20260603-051R010B5R5R2新Shadow样本复核与环境归因.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603051R010B5R5R22B6B7_R20260603-051R010B5R5R2新Shadow样本复核与环境归因.md"
"EX-20260603T000000Z-mig-R20260603052ACB6B_R20260603-052R010B5R5R3低MedianRet条件预注册与只读复核.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603052ACB6B_R20260603-052R010B5R5R3低MedianRet条件预注册与只读复核.md"
"EX-20260603T000000Z-mig-R202606030533457F_R20260603-053R010B5R5R4低MedianRet现有结果交叉复核与新增样本外预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R202606030533457F_R20260603-053R010B5R5R4低MedianRet现有结果交叉复核与新增样本外预注册.md"
"EX-20260603T000000Z-mig-R2026060305476DDA_R20260603-054R010B5S1非线性仓位公式组件映射与证伪路线预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R2026060305476DDA_R20260603-054R010B5S1非线性仓位公式组件映射与证伪路线预注册.md"
"EX-20260603T000000Z-mig-R202606030554B305_R20260603-055R010B5S2波动率项与资金曲线状态组件级只读审计预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R202606030554B305_R20260603-055R010B5S2波动率项与资金曲线状态组件级只读审计预注册.md"
"EX-20260603T000000Z-mig-R20260603056F80E0_R20260603-056R010B5S3波动率状态与资金曲线修复组件诊断预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603056F80E0_R20260603-056R010B5S3波动率状态与资金曲线修复组件诊断预注册.md"
"EX-20260603T000000Z-mig-R20260603057D782D_R20260603-057R010B5S4滚动波动率中位参考分组前向样本可用性审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260603T000000Z-mig-R20260603057D782D_R20260603-057R010B5S4滚动波动率中位参考分组前向样本可用性审计.md"
"EX-20260604T000000Z-mig-R202606040588511A_R20260604-058R010A4进攻端状态门控平滑软排序实验.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R202606040588511A_R20260604-058R010A4进攻端状态门控平滑软排序实验.md"
"EX-20260604T000000Z-mig-R202606040597F143_R20260604-059R010A4进攻软排序字段与实现可用性审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R202606040597F143_R20260604-059R010A4进攻软排序字段与实现可用性审计.md"
"EX-20260604T000000Z-mig-R20260604060DB364_R20260604-060R010A4R1进攻软排序默认关闭实现审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604060DB364_R20260604-060R010A4R1进攻软排序默认关闭实现审计.md"
"EX-20260604T000000Z-mig-R202606040610B5CB_R20260604-061R010A4S2进攻软排序2024Smoke行为审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R202606040610B5CB_R20260604-061R010A4S2进攻软排序2024Smoke行为审计.md"
"EX-20260604T000000Z-mig-R20260604062E3353_R20260604-062R010A4S3进攻软排序近失效归因.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604062E3353_R20260604-062R010A4S3进攻软排序近失效归因.md"
"EX-20260604T000000Z-mig-R20260604063D3D73_R20260604-063R010A4S4Top1替换质量标签只读发现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604063D3D73_R20260604-063R010A4S4Top1替换质量标签只读发现.md"
"EX-20260604T000000Z-mig-R20260604064A93C5_R20260604-064R010A4S5Top1近端衰竭替换2024Smoke审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604064A93C5_R20260604-064R010A4S5Top1近端衰竭替换2024Smoke审计.md"
"EX-20260604T000000Z-mig-R202606040650312D_R20260604-065R010A4S5OOS默认关闭验证.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R202606040650312D_R20260604-065R010A4S5OOS默认关闭验证.md"
"EX-20260604T000000Z-mig-R202606040660711D_R20260604-066R010A4S6S5失败归因只读审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R202606040660711D_R20260604-066R010A4S6S5失败归因只读审计.md"
"EX-20260604T000000Z-mig-R2026060406780AD6_R20260604-067R010A5A2换仓失败归因只读审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R2026060406780AD6_R20260604-067R010A5A2换仓失败归因只读审计.md"
"EX-20260604T000000Z-mig-R202606040685CEBD_R20260604-068R010A6过滤层稀薄防抖2024Smoke否决.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R202606040685CEBD_R20260604-068R010A6过滤层稀薄防抖2024Smoke否决.md"
"EX-20260604T000000Z-mig-R2026060406878BFA_R20260604-068日内成交头重脚轻假设只读验证预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R2026060406878BFA_R20260604-068日内成交头重脚轻假设只读验证预注册.md"
"EX-20260604T000000Z-mig-R2026060406931791_R20260604-069执行窗口VWAP容量冲击反事实预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R2026060406931791_R20260604-069执行窗口VWAP容量冲击反事实预注册.md"
"EX-20260604T000000Z-mig-R20260604070EA2A6_R20260604-070ETF专项执行窗口分层只读分析.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604070EA2A6_R20260604-070ETF专项执行窗口分层只读分析.md"
"EX-20260604T000000Z-mig-R20260604071C7EC3_R20260604-071ETF双池买卖时机独立反事实预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604071C7EC3_R20260604-071ETF双池买卖时机独立反事实预注册.md"
"EX-20260604T000000Z-mig-R20260604072DE8A7_R20260604-072ETF双池13091310时点机制归因预注册.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604072DE8A7_R20260604-072ETF双池13091310时点机制归因预注册.md"
"EX-20260604T000000Z-mig-R20260604073F111B_R20260604-073R010A6S3保持旧仓失败触发簇只读归因.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604073F111B_R20260604-073R010A6S3保持旧仓失败触发簇只读归因.md"
"EX-20260604T000000Z-mig-R2026060407497F21_R20260604-074R010A7过滤层稀薄替代目标只读验证.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R2026060407497F21_R20260604-074R010A7过滤层稀薄替代目标只读验证.md"
"EX-20260604T000000Z-mig-R20260604075E9A24_R20260604-075R010A8过滤层稀薄状态分层只读发现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260604T000000Z-mig-R20260604075E9A24_R20260604-075R010A8过滤层稀薄状态分层只读发现.md"
"EX-20260605T000000Z-mig-R2026060507681C94_R20260605-076R010A9过滤层稀薄Top3替代真实路径多段验证.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R2026060507681C94_R20260605-076R010A9过滤层稀薄Top3替代真实路径多段验证.md"
"EX-20260605T000000Z-mig-R202606050779AFBB_R20260605-077R010A9S4高热度窄主线热分支2024Smoke否决.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050779AFBB_R20260605-077R010A9S4高热度窄主线热分支2024Smoke否决.md"
"EX-20260605T000000Z-mig-R2026060507889967_R20260605-078R010A9S3已触发负贡献归因与审计字段增强.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R2026060507889967_R20260605-078R010A9S3已触发负贡献归因与审计字段增强.md"
"EX-20260605T000000Z-mig-R202606050799B34C_R20260605-079R010A9S3Shadow2024Smoke交易隔离通过.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050799B34C_R20260605-079R010A9S3Shadow2024Smoke交易隔离通过.md"
"EX-20260605T000000Z-mig-R2026060508099410_R20260605-080R010A9S3Shadow多分段Smoke交易隔离通过.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R2026060508099410_R20260605-080R010A9S3Shadow多分段Smoke交易隔离通过.md"
"EX-20260605T000000Z-mig-R202606050812A784_R20260605-081R010A9S3Shadow四分段全覆盖交易隔离通过.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050812A784_R20260605-081R010A9S3Shadow四分段全覆盖交易隔离通过.md"
"EX-20260605T000000Z-mig-R202606050828E097_R20260605-082R010A9S3十五触发成交可用性与扣成本复核.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050828E097_R20260605-082R010A9S3十五触发成交可用性与扣成本复核.md"
"EX-20260605T000000Z-mig-R20260605083B8CDE_R20260605-083R010A9S3预可见容量护栏只读评估.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R20260605083B8CDE_R20260605-083R010A9S3预可见容量护栏只读评估.md"
"EX-20260605T000000Z-mig-R202606050844E399_R20260605-084R010A9S5预可见容量护栏Shadow四分段验证.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050844E399_R20260605-084R010A9S5预可见容量护栏Shadow四分段验证.md"
"EX-20260605T000000Z-mig-R20260605085B7521_R20260605-085R010A9S5放行事件Live-Readiness只读审计.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R20260605085B7521_R20260605-085R010A9S5放行事件Live-Readiness只读审计.md"
"EX-20260605T000000Z-mig-R202606050866BB8C_R20260605-086R010A9S5二级护栏候选只读发现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050866BB8C_R20260605-086R010A9S5二级护栏候选只读发现.md"
"EX-20260605T000000Z-mig-R202606050878B552_R20260605-087R010A9S6二级护栏Default-OffShadow四分段验证.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050878B552_R20260605-087R010A9S6二级护栏Default-OffShadow四分段验证.md"
"EX-20260605T000000Z-mig-R202606050881EFD1_R20260605-088R010A10A2换仓延迟确认只读发现.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050881EFD1_R20260605-088R010A10A2换仓延迟确认只读发现.md"
"EX-20260605T000000Z-mig-R202606050899F2EE_R20260605-089R010A10S1A2换仓延迟确认Default-OffShadow四分段验证.md","","","","",,"E:\【笔记库】\量化研究库_V2.0.0\04_实验记录\EX-20260605T000000Z-mig-R202606050899F2EE_R20260605-089R010A10S1A2换仓延迟确认Default-OffShadow四分段验证.md"
